net,length_um
clknet_0_clk,1222.26
_03505_,1150.83
_03284_,1133.43
_03428_,1121.095
_03357_,1049.51
_03373_,1038.925
_01581_,993.965
_03556_,989.505
_03312_,978.51
_03283_,977.14
_03265_,972.605
_01612_,965.99
_03304_,935.58
_03262_,929.72
_03356_,928.79
_03388_,927.96
_03310_,926.29
_03295_,923.75
_03332_,920.51
_03296_,920.04
_03311_,907.9
_03365_,899.36
_03374_,886.21
_03301_,880.615
_01644_,878.895
_03407_,877.66
_01601_,876.775
_01576_,875.96
_03353_,861.36
_03369_,857.86
_03343_,855.2
_05668_,854.54
_03313_,854.32
_03504_,854.14
_03410_,848.87
_01654_,845.99
_01580_,844.59
_03421_,836.14
_03322_,833.05
_04874_,829.34
_03370_,823.815
_03447_,822.21
_03263_,821.74
_03349_,812.92
_03408_,811.59
_01621_,811.36
_03429_,810.65
_03446_,810.48
_03355_,804.44
_03333_,802.08
_01562_,800.76
_03293_,799.49
_01666_,799.41
_03328_,798.84
_03366_,798.38
_01650_,798.31
_03286_,790.09
_05632_,784.11
_04911_,782.24
_03281_,781.945
_03267_,775.04
_01668_,770.74
_03515_,766.51
_01622_,765.595
_05199_,763.98
_03274_,763.24
_03325_,761
_03307_,759.01
_04838_,756.46
_03176_,754.58
_03342_,754.22
_05596_,751.85
_03330_,750.45
_05380_,750.37
_01645_,749.335
_04684_,748.54
_01564_,748.02
_01615_,747.67
_02307_,742.75
_01679_,742.17
_03345_,739.69
_01561_,737.71
_03320_,737.57
_03348_,736.05
_01674_,735.915
_03275_,734.91
_01579_,734.49
_05163_,733.05
_01583_,732.535
_03420_,730.545
_01639_,730.54
_04619_,728.72
_01605_,728.225
_05271_,727.95
_01597_,727.03
_03323_,726.145
_01780_,723.225
_03271_,720.54
_03409_,719.26
_01627_,718.72
_02364_,718.58
_01638_,718.51
_01783_,717.52
_03306_,713.57
_01636_,705.005
_03303_,704
_04544_,703.7
_01664_,703.255
_01594_,698.9
_03341_,697.135
_01586_,695.66
_01652_,694.18
_03280_,694.13
_02367_,693.405
net374,692.7
_05416_,691.8
_03387_,691.61
_03557_,691.25
_03273_,689.11
_03276_,688.68
_01776_,687.79
_01673_,685.62
_03354_,684.685
_02371_,683.475
_03302_,682.29
_01591_,681.32
_05089_,680.495
_01658_,680.095
_03321_,678.7
_04533_,678.48
_01560_,676.93
_03175_,674.635
_03294_,674.065
_01656_,672.655
_03319_,669.7
_03277_,668.36
_01610_,666.805
_03450_,666.38
_03282_,662.91
_03378_,659.52
_01642_,659.15
_04863_,658.66
_01653_,657.56
_02380_,656.295
_02385_,656.235
_01630_,654.705
_02604_,654.17
_05017_,651.74
_03331_,651.095
_05441_,648.98
_04507_,648.44
_05127_,647.02
_05297_,646.76
_01575_,646.27
_04658_,646.19
_03324_,646
_05319_,644.87
_05524_,643.42
_01600_,641.885
_02376_,641.58
_02360_,641.45
_01791_,641.18
_04939_,639.67
_02379_,638.305
_03285_,637.81
_01555_,633.315
_01663_,632.635
_04608_,632.58
_03314_,630.025
_01592_,628.945
_04764_,628.73
_01613_,628.34
_03318_,627.525
_01565_,627.47
_05333_,624.27
_03292_,624.15
_01670_,622.9
_04722_,622.56
_05535_,622.49
_05006_,621.94
_05607_,621.61
_05488_,621.56
_03290_,618.27
_01635_,617.675
_05405_,617.51
_04428_,615.89
_05621_,615.805
_01777_,611.415
_04582_,611.35
_03344_,608.345
_05100_,607.49
_05452_,607.48
_01641_,606.575
_01671_,606.105
_05235_,605.54
_04449_,601.34
_01649_,601.05
_05053_,600.18
_05344_,600.01
_04801_,595.875
_04900_,595.23
_05477_,594.98
_04695_,593.64
_03315_,593.635
_01624_,593.06
_01606_,591.775
_05308_,590.96
_05152_,590.26
_01616_,589.31
_01608_,585.795
_01595_,584.47
_01598_,581.835
_01662_,580.57
_01625_,579.03
_01784_,578.53
_04669_,578.52
_03352_,578.15
_05064_,577.24
_05174_,575.89
_05246_,575.63
_03305_,574.49
_05463_,573.77
_02665_,573.385
_05078_,572.49
_01557_,571.31
_05188_,570.46
_04960_,568.37
_01787_,568.29
_01568_,565.82
_04630_,563.64
_02359_,563.53
_01631_,563.515
_05585_,563.115
_05369_,563
_04518_,562.92
_04647_,559.16
_05657_,558.99
_01584_,558.67
_03272_,558.27
_03337_,557.76
_03264_,556.91
_03266_,554.395
_02363_,552.94
_05427_,552.68
_05224_,545.47
_05028_,544.96
_02368_,540.6
_03289_,537.16
_02419_,531.15
_03329_,528.71
_04743_,527.44
_05513_,523.83
_05355_,521.05
_04981_,516.7
_05116_,516.6
_05138_,513.16
_04922_,512.13
_03270_,511.91
_01659_,507.985
_05210_,507.67
_01587_,507.1
_04496_,503.91
_03300_,502.43
_01667_,501.22
_05260_,501.11
_01556_,500.435
_04571_,500.12
_04790_,495.255
_01569_,493.72
_03200_,492.61
_01628_,492.16
_04885_,487.7
_02386_,487.35
_04470_,486.46
_05042_,479.79
net133,478.36
_05391_,478.3
_05499_,474.43
_04706_,469.68
_04555_,468.81
_02697_,464.43
_05560_,463.96
_02664_,463.52
_05643_,461.74
_02652_,459.445
_05549_,453.67
_03291_,449.91
_04593_,449.03
_02375_,448.825
_01609_,442.2
_01680_,435.73
_03217_,430.26
clk,429.75
_03174_,423.645
_04827_,419.8
_03211_,418.38
_04185_,415.3
_05282_,412.18
_04812_,410.28
net310,405.88
_01430_,395.61
net373,395.17
_05679_,389.75
net8,389.45
_05571_,388.14
_01358_,385.32
net11,377.67
clknet_4_14_0_clk,376.48
net9,368.8
_03246_,366.775
_01371_,365.45
_01363_,364.57
u_decod.rs1_data_q\[25\],364.32
_03210_,358.905
net7,357.91
_03202_,357.58
_03224_,354.71
u_decod.rs1_data_q\[27\],346.51
u_decod.rs1_data_q\[24\],346.34
_03225_,345.76
net255,345.38
u_decod.rs1_data_q\[3\],341.83
u_decod.rs1_data_q\[26\],339.03
u_decod.rs1_data_q\[2\],338.305
net90,336.34
u_decod.rs1_data_q\[5\],335.79
_01376_,335.37
net10,330.38
clknet_4_8_0_clk,327.165
clknet_4_6_0_clk,327.11
_01388_,326.61
_04849_,323.91
_01367_,322.02
net311,320.83
_01384_,319.36
u_decod.rs1_data_q\[6\],317.425
_01611_,314.055
u_decod.rs1_data_q\[29\],313.47
u_decod.rs1_data_q\[13\],313.12
clknet_4_7_0_clk,312.98
net334,312.57
u_decod.rs1_data_q\[9\],311.68
_01267_,311.255
